"peak_id","peak_chr","peak_start","peak_end","peak_mid","peak_score","win10_start","win10_end","genes_TSS_10kb","genes_geneBodyOverlap_10kb","nearest_gene","nearest_proteincoding_gene","nearest_proteincoding_gene_distance","peak_overlap_type","peak_distanceToTSS","peak_overlap_simple","sequence_name","peak_overlap_custom"
"chr1:6884701-6885047","chr1",6884701,6885047,6884874,182,6874874,6894874,"","CAMTA1","CAMTA1","CAMTA1",99550,"Intron (ENST00000303635.12/23261, intron 3 of 22)",10645,"Intron","chr1_6884701-6885047","Intron"
"chr1:8027279-8027987","chr1",8027279,8027987,8027633,431,8017633,8037633,"ERRFI1-DT,ERRFI1","ERRFI1-DT,ERRFI1","ERRFI1-DT","ERRFI1",-1325,"Promoter (<=1kb)",359,"Promoter","chr1_8027279-8027987","Promoter"
"chr1:8084121-8084473","chr1",8084121,8084473,8084297,28,8074297,8094297,"","ERRFI1-DT","ERRFI1-DT","ERRFI1",-57989,"Intron (ENST00000445300.2/121832806, intron 2 of 2)",5893,"Intron","chr1_8084121-8084473","Intron"
"chr1:8094841-8095147","chr1",8094841,8095147,8094994,34,8084994,8104994,"","ERRFI1-DT","ERRFI1-DT","ERRFI1",-68686,"Exon (ENST00000778015.1/ENST00000778015.1, exon 1 of 3)",16613,"Exon","chr1_8094841-8095147","Exon"
"chr1:8096163-8096531","chr1",8096163,8096531,8096347,174,8086347,8106347,"","ERRFI1-DT","ERRFI1-DT","ERRFI1",-70039,"Intron (ENST00000445300.2/121832806, intron 2 of 2)",17935,"Intron","chr1_8096163-8096531","Intron"
"chr1:8169709-8170318","chr1",8169709,8170318,8170013,376,8160013,8180013,"","LINC01714","LINC01714","ERRFI1",-143705,"Intron (ENST00000777658.1/ENST00000777658.1, intron 2 of 3)",3875,"Intron","chr1_8169709-8170318","Intron"
"chr1:8259009-8259385","chr1",8259009,8259385,8259197,52,8249197,8269197,"LOC124903835","LOC124903835","LOC124903835","SLC45A1",-58629,"Promoter (<=1kb)",-502,"Promoter","chr1_8259009-8259385","Promoter"
"chr1:8420236-8420738","chr1",8420236,8420738,8420487,562,8410487,8430487,"RERE-AS1","RERE-AS1,RERE","RERE","RERE",397156,"Intron (ENST00000337907.7/473, intron 13 of 23)",2681,"Intron","chr1_8420236-8420738","Intron"
"chr1:8563560-8564273","chr1",8563560,8564273,8563916,113,8553916,8573916,"","RERE","RERE","RERE",253727,"Intron (ENST00000337907.7/473, intron 5 of 23)",26568,"Intron","chr1_8563560-8564273","Intron"
"chr1:8712026-8712527","chr1",8712026,8712527,8712276,127,8702276,8722276,"","RERE","RERE","RERE",105367,"Intron (ENST00000337907.7/473, intron 2 of 23)",-8807,"Intron","chr1_8712026-8712527","Intron"
"chr1:8741921-8742228","chr1",8741921,8742228,8742074,51,8732074,8752074,"","RERE","RERE","RERE",75569,"Intron (ENST00000337907.7/473, intron 2 of 23)",11610,"Intron","chr1_8741921-8742228","Intron"
"chr1:8880224-8880738","chr1",8880224,8880738,8880481,515,8870481,8890481,"ENO1-AS1,ENO1","ENO1-AS1,ENO1","ENO1-AS1","ENO1",-1232,"Promoter (<=1kb)",932,"Promoter","chr1_8880224-8880738","Promoter"
"chr1:9435085-9435617","chr1",9435085,9435617,9435351,353,9425351,9445351,"","LINC02606","LINC02606","SPSB1",142471,"Intron (ENST00000641940.1/100506022, intron 1 of 1)",4947,"Intron","chr1_9435085-9435617","Intron"
"chr1:9501064-9501576","chr1",9501064,9501576,9501320,862,9491320,9511320,"","","SLC25A33","SLC25A33",-38162,"Exon (ENST00000441033.2/ENST00000441033.2, exon 2 of 2)",-37889,"Exon","chr1_9501064-9501576","Exon"
"chr1:9914219-9914641","chr1",9914219,9914641,9914430,146,9904430,9924430,"CTNNBIP1","CTNNBIP1,LZIC","CTNNBIP1","CTNNBIP1",-4094,"Intron (ENST00000738451.1/ENST00000738451.1, intron 1 of 4)",-3883,"Intron","chr1_9914219-9914641","Intron"
"chr1:10599515-10599880","chr1",10599515,10599880,10599697,89,10589697,10609697,"","PEX14","PEX14","PEX14",127409,"Intron (ENST00000356607.9/5195, intron 4 of 8)",45196,"Intron","chr1_10599515-10599880","Intron"
"chr1:10937364-10937803","chr1",10937364,10937803,10937583,298,10927583,10947583,"","CIROZ","CIROZ","CIROZ",44454,"Distal Intergenic",10067,"Intergenic","chr1_10937364-10937803","Intergenic"
"chr1:14952681-14953055","chr1",14952681,14953055,14952868,119,14942868,14962868,"","KAZN","KAZN","KAZN",1060076,"Intron (ENST00000636203.1/23254, intron 3 of 16)",6762,"Intron","chr1_14952681-14953055","Intron"
"chr1:15189828-15190446","chr1",15189828,15190446,15190137,626,15180137,15200137,"","TMEM51","TMEM51","TMEM51",37605,"Intron (ENST00000428417.5/55092, intron 1 of 2)",-18162,"Intron","chr1_15189828-15190446","Intron"
"chr1:15779409-15779862","chr1",15779409,15779862,15779635,226,15769635,15789635,"","FBLIM1","FBLIM1","FBLIM1",23028,"Intron (ENST00000375771.5/54751, intron 9 of 9)",2336,"Intron","chr1_15779409-15779862","Intron"
"chr1:16178398-16178879","chr1",16178398,16178879,16178638,270,16168638,16188638,"","EPHA2-AS1","EPHA2-AS1","ARHGEF19",33971,"Intron (ENST00000793379.1/101927479, intron 2 of 2)",19132,"Intron","chr1_16178398-16178879","Intron"
"chr1:17580106-17580712","chr1",17580106,17580712,17580409,861,17570409,17590409,"","ARHGEF10L","ARHGEF10L","ARHGEF10L",40574,"Promoter (<=1kb)",0,"Promoter","chr1_17580106-17580712","Promoter"
"chr1:17935219-17935528","chr1",17935219,17935528,17935373,106,17925373,17945373,"","","LOC105376812","ACTL8",180060,"Distal Intergenic",-80184,"Intergenic","chr1_17935219-17935528","Intergenic"
"chr1:18480648-18481186","chr1",18480648,18481186,18480917,617,18470917,18490917,"KLHDC7A","KLHDC7A","KLHDC7A","KLHDC7A",-65,"Promoter (<=1kb)",0,"Promoter","chr1_18480648-18481186","Promoter"
"chr1:18901116-18901593","chr1",18901116,18901593,18901354,584,18891354,18911354,"MIR1290,LOC124903866,ALDH4A1","MIR1290,LOC124903866,IFFO2,ALDH4A1","ALDH4A1","ALDH4A1",1427,"Promoter (<=1kb)",-497,"Promoter","chr1_18901116-18901593","Promoter"
"chr1:19130462-19130836","chr1",19130462,19130836,19130649,79,19120649,19140649,"","UBR4","UBR4","UBR4",79627,"Intron (ENST00000375254.8/23352, intron 60 of 105)",-2761,"Intron","chr1_19130462-19130836","Intron"
"chr1:19139168-19139604","chr1",19139168,19139604,19139386,287,19129386,19149386,"","UBR4","UBR4","UBR4",70890,"Exon (ENST00000375254.8/23352, exon 59 of 106)",6524,"Exon","chr1_19139168-19139604","Exon"
"chr1:19409689-19410124","chr1",19409689,19410124,19409906,164,19399906,19419906,"LOC124903868","LOC124903868,CAPZB","CAPZB","CAPZB",75633,"Exon (ENST00000817245.1/124903868, exon 2 of 4)",1005,"Exon","chr1_19409689-19410124","Exon"
"chr1:19619796-19620184","chr1",19619796,19620184,19619990,113,19609990,19629990,"","MICOS10-NBL1,MICOS10","MICOS10",NA,23011,"Intron (ENST00000648702.1/440574, intron 1 of 3)",11682,"Intron","chr1_19619796-19620184","Intron"
"chr1:19815190-19815572","chr1",19815190,19815572,19815381,184,19805381,19825381,"RNF186-AS1,RNF186","RNF186-AS1,RNF186","RNF186-AS1","RNF186",-103,"Promoter (<=1kb)",0,"Promoter","chr1_19815190-19815572","Promoter"
"chr1:20480125-20480738","chr1",20480125,20480738,20480431,1038,20470431,20490431,"LOC124903871,CAMK2N1","LOC124903871,CAMK2N1","LOC124903871","CAMK2N1",5789,"Exon (ENST00000641097.2/ENST00000641097.2, exon 1 of 2)",3495,"Exon","chr1_20480125-20480738","Exon"
"chr1:20552174-20552547","chr1",20552174,20552547,20552360,108,20542360,20562360,"FAM43B","FAM43B","FAM43B","FAM43B",-79,"Promoter (<=1kb)",-26,"Promoter","chr1_20552174-20552547","Promoter"
"chr1:21115069-21115394","chr1",21115069,21115394,21115231,70,21105231,21125231,"","EIF4G3","EIF4G3","EIF4G3",61657,"Promoter (1-2kb)",-1940,"Promoter","chr1_21115069-21115394","Promoter"
"chr1:21247875-21248339","chr1",21247875,21248339,21248107,234,21238107,21258107,"","ECE1","ECE1","ECE1",97397,"Intron (ENST00000415912.6/1889, intron 8 of 18)",8378,"Intron","chr1_21247875-21248339","Intron"
"chr1:21271491-21271939","chr1",21271491,21271939,21271715,234,21261715,21281715,"LOC124903872","LOC124903872,ECE1","ECE1","ECE1",73789,"Intron (ENST00000415912.6/1889, intron 4 of 18)",5027,"Intron","chr1_21271491-21271939","Intron"
"chr1:21623491-21623952","chr1",21623491,21623952,21623721,493,21613721,21633721,"","RAP1GAP","RAP1GAP","RAP1GAP",45642,"Promoter (<=1kb)",-923,"Promoter","chr1_21623491-21623952","Promoter"
"chr1:21921408-21921889","chr1",21921408,21921889,21921648,854,21911648,21931648,"","HSPG2","HSPG2","HSPG2",15649,"Intron (ENST00000374695.8/3339, intron 1 of 96)",15421,"Intron","chr1_21921408-21921889","Intron"
"chr1:23149167-23149493","chr1",23149167,23149493,23149330,107,23139330,23159330,"","LUZP1","LUZP1","LUZP1",28478,"Intron (ENST00000471849.6/7798, intron 1 of 4)",-15488,"Intron","chr1_23149167-23149493","Intron"
"chr1:23423556-23424019","chr1",23423556,23424019,23423787,551,23413787,23433787,"LOC124903875,TCEA3","LOC124903875,ASAP3,TCEA3","TCEA3","TCEA3",953,"Promoter (<=1kb)",614,"Promoter","chr1_23423556-23424019","Promoter"
"chr1:23727538-23727926","chr1",23727538,23727926,23727732,196,23717732,23737732,"","ELOA-AS1","ELOA-AS1","ELOA",-15423,"Intron (ENST00000655402.1/100506963, intron 2 of 2)",-15522,"Intron","chr1_23727538-23727926","Intron"
"chr1:24015046-24015609","chr1",24015046,24015609,24015327,72,24005327,24025327,"","LOC105376863","LOC105376863","SRSF10",-34400,"Intron (ENST00000761050.1/105376863, intron 2 of 3)",-3425,"Intron","chr1_24015046-24015609","Intron"
"chr1:24540916-24541433","chr1",24540916,24541433,24541174,395,24531174,24551174,"RCAN3AS","NCMAP-DT,RCAN3AS,RCAN3","NCMAP-DT","RCAN3",38823,"3' UTR",-5516,"3UTR","chr1_24540916-24541433","3UTR"
"chr1:24946823-24947260","chr1",24946823,24947260,24947041,400,24937041,24957041,"","RUNX3","RUNX3","RUNX3",18080,"Intron (ENST00000338888.4/864, intron 2 of 6)",-14085,"Intron","chr1_24946823-24947260","Intron"
"chr1:25773388-25773929","chr1",25773388,25773929,25773658,1310,25763658,25783658,"","MAN1C1","MAN1C1","MAN1C1",156190,"Intron (ENST00000374332.9/57134, intron 8 of 11)",1319,"Intron","chr1_25773388-25773929","Intron"
"chr1:25867206-25867594","chr1",25867206,25867594,25867400,177,25857400,25877400,"PAQR7,AUNIP","PAQR7,AUNIP","PAQR7","PAQR7",3853,"Intron (ENST00000775350.1/ENST00000775350.1, intron 1 of 1)",3659,"Intron","chr1_25867206-25867594","Intron"
"chr1:25871055-25871398","chr1",25871055,25871398,25871226,72,25861226,25881226,"PAQR7","PAQR7","PAQR7","PAQR7",27,"Promoter (<=1kb)",0,"Promoter","chr1_25871055-25871398","Promoter"
"chr1:26904408-26904816","chr1",26904408,26904816,26904612,66,26894612,26914612,"NUDC,GPATCH3,NR0B2","NUDC,GPATCH3,NR0B2","NUDC","NUDC",4374,"Intron (ENST00000435827.6/10726, intron 2 of 6)",-3941,"Intron","chr1_26904408-26904816","Intron"
"chr1:26910369-26910753","chr1",26910369,26910753,26910561,224,26900561,26920561,"NR0B2","NUDC,NR0B2","NUDC","NUDC",10323,"Intron (ENST00000435827.6/10726, intron 2 of 6)",3222,"Intron","chr1_26910369-26910753","Intron"
"chr1:26990458-26990977","chr1",26990458,26990977,26990717,414,26980717,27000717,"TRNP1,OSTCP2","TRNP1,OSTCP2","TRNP1","TRNP1",-2990,"Distal Intergenic",-2715,"Intergenic","chr1_26990458-26990977","Upstream"
"chr1:27682404-27682754","chr1",27682404,27682754,27682579,116,27672579,27692579,"","","IFI6","IFI6",-10361,"Intron (ENST00000626608.2/ENST00000626608.2, intron 2 of 2)",-10192,"Intron","chr1_27682404-27682754","Intron"
"chr1:28370097-28370522","chr1",28370097,28370522,28370309,62,28360309,28380309,"PHACTR4","PHACTR4","PHACTR4","PHACTR4",727,"Promoter (<=1kb)",353,"Promoter","chr1_28370097-28370522","Promoter"
"chr1:28871837-28872309","chr1",28871837,28872309,28872073,359,28862073,28882073,"","OPRD1","OPRD1","OPRD1",59931,"Exon (ENST00000418471.1/ENST00000418471.1, exon 2 of 3)",-14782,"Exon","chr1_28871837-28872309","Exon"
"chr1:29471903-29472254","chr1",29471903,29472254,29472078,291,29462078,29482078,"","LOC107984933,LOC107984934","LOC107984934","PTPRU",235562,"Intron (ENST00000772659.1/107984933, intron 1 of 2)",-26661,"Intron","chr1_29471903-29472254","Intron"
"chr1:31062472-31062919","chr1",31062472,31062919,31062695,113,31052695,31072695,"PUM1","PUM1","PUM1","PUM1",3296,"Promoter (<=1kb)",-556,"Promoter","chr1_31062472-31062919","Promoter"
"chr1:31099635-31100059","chr1",31099635,31100059,31099847,206,31089847,31109847,"","","PUM1","PUM1",-33856,"Distal Intergenic",-33644,"Intergenic","chr1_31099635-31100059","Intergenic"
"chr1:31169672-31170109","chr1",31169672,31170109,31169890,167,31159890,31179890,"","NKAIN1","NKAIN1","NKAIN1",69664,"Distal Intergenic",14622,"Intergenic","chr1_31169672-31170109","Intergenic"
"chr1:31318146-31318585","chr1",31318146,31318585,31318365,145,31308365,31328365,"","ZCCHC17","ZCCHC17","ZCCHC17",21383,"5' UTR",21110,"5UTR","chr1_31318146-31318585","5UTR"
"chr1:31371630-31372074","chr1",31371630,31372074,31371852,171,31361852,31381852,"FABP3","FABP3,ZCCHC17","FABP3","FABP3",4998,"Promoter (<=1kb)",999,"Promoter","chr1_31371630-31372074","Promoter"
"chr1:31444646-31445131","chr1",31444646,31445131,31444888,236,31434888,31454888,"","LOC124903900","LOC124903900","SERINC2",35323,"Intron (ENST00000813684.1/124903900, intron 1 of 1)",-25982,"Intron","chr1_31444646-31445131","Intron"
"chr1:31875820-31876288","chr1",31875820,31876288,31876054,286,31866054,31886054,"","","PTP4A2","PTP4A2",68802,"Intron (ENST00000770477.1/ENST00000770477.1, intron 1 of 3)",34992,"Intron","chr1_31875820-31876288","Intron"
"chr1:32255375-32255693","chr1",32255375,32255693,32255534,52,32245534,32265534,"LCK,FAM167B","LCK,FAM167B","LCK","LCK",4295,"Intron (ENST00000696990.1/3932, intron 1 of 5)",4057,"Intron","chr1_32255375-32255693","Intron"
"chr1:32948916-32949366","chr1",32948916,32949366,32949141,194,32939141,32959141,"","RNF19B","RNF19B","RNF19B",15544,"Intron (ENST00000661031.1/ENST00000661031.1, intron 2 of 2)",15319,"Intron","chr1_32948916-32949366","Intron"
"chr1:33347093-33347753","chr1",33347093,33347753,33347423,541,33337423,33357423,"PHC2-AS1","PHC2-AS1,PHC2","PHC2","PHC2",83629,"Exon (ENST00000627130.1/ENST00000627130.1, exon 3 of 4)",1897,"Exon","chr1_33347093-33347753","Exon"
"chr1:35178791-35179496","chr1",35178791,35179496,35179143,473,35169143,35189143,"","SFPQ","SFPQ","SFPQ",14005,"Promoter (<=1kb)",0,"Promoter","chr1_35178791-35179496","Promoter"
"chr1:36323919-36324464","chr1",36323919,36324464,36324191,709,36314191,36334191,"EVA1B","EVA1B,SH3D21","SH3D21","SH3D21",17804,"Promoter (<=1kb)",0,"Promoter","chr1_36323919-36324464","Promoter"
"chr1:38082882-38083329","chr1",38082882,38083329,38083105,131,38073105,38093105,"MIR3659","MIR3659,MIR3659HG","MIR3659HG","POU3F1",-36311,"Promoter (<=1kb)",0,"Promoter","chr1_38082882-38083329","Promoter"
"chr1:38246786-38247221","chr1",38246786,38247221,38247003,185,38237003,38257003,"","","LINC01343","POU3F1",-200209,"Distal Intergenic",-31980,"Intergenic","chr1_38246786-38247221","Intergenic"
"chr1:38985655-38986147","chr1",38985655,38986147,38985901,395,38975901,38995901,"AKIRIN1","AKIRIN1","AKIRIN1","AKIRIN1",-5322,"Distal Intergenic",-5129,"Intergenic","chr1_38985655-38986147","Intergenic"
"chr1:40384212-40384525","chr1",40384212,40384525,40384368,30,40374368,40394368,"","SMAP2","SMAP2","SMAP2",39518,"Intron (ENST00000435168.6/64744, intron 2 of 6)",-8820,"Intron","chr1_40384212-40384525","Intron"
"chr1:40535739-40536128","chr1",40535739,40536128,40535933,79,40525933,40545933,"LOC124904149,ZNF684","LOC124904149,ZNF684","ZNF684","ZNF684",4372,"Intron (ENST00000648542.1/127396, intron 3 of 5)",-3777,"Intron","chr1_40535739-40536128","Intron"
"chr1:40705383-40705792","chr1",40705383,40705792,40705587,125,40695587,40715587,"","NFYC","NFYC","NFYC",13939,"Intron (ENST00000467203.5/4802, intron 1 of 5)",-3565,"Intron","chr1_40705383-40705792","Intron"
"chr1:40715573-40716087","chr1",40715573,40716087,40715830,518,40705830,40725830,"","NFYC","NFYC","NFYC",24182,"Intron (ENST00000467203.5/4802, intron 1 of 5)",6030,"Intron","chr1_40715573-40716087","Intron"
"chr1:40758652-40759122","chr1",40758652,40759122,40758887,398,40748887,40768887,"MIR30C1,MIR30E","MIR30C1,MIR30E,NFYC","NFYC","NFYC",67239,"Promoter (<=1kb)",699,"Promoter","chr1_40758652-40759122","Promoter"
"chr1:40988228-40988679","chr1",40988228,40988679,40988453,214,40978453,40998453,"CTPS1","CTPS1","CTPS1","CTPS1",9118,"Promoter (<=1kb)",0,"Promoter","chr1_40988228-40988679","Promoter"
"chr1:42153179-42153494","chr1",42153179,42153494,42153336,81,42143336,42163336,"GUCA2B","GUCA2A,GUCA2B","GUCA2B","GUCA2B",-85,"Promoter (<=1kb)",0,"Promoter","chr1_42153179-42153494","Promoter"
"chr1:42720870-42721310","chr1",42720870,42721310,42721090,256,42711090,42731090,"","","CLDN19","CLDN19",19164,"Distal Intergenic",18830,"Intergenic","chr1_42720870-42721310","Intergenic"
"chr1:43757786-43758075","chr1",43757786,43758075,43757930,88,43747930,43767930,"","ST3GAL3,KDM4A","KDM4A","ST3GAL3",52106,"Intron (ENST00000645057.1/9682, intron 16 of 25)",21417,"Intron","chr1_43757786-43758075","Intron"
"chr1:44009457-44009772","chr1",44009457,44009772,44009614,65,43999614,44019614,"","SLC6A9","SLC6A9","SLC6A9",21853,"Intron (ENST00000372307.7/6536, intron 3 of 11)",6784,"Intron","chr1_44009457-44009772","Intron"
"chr1:45134219-45134790","chr1",45134219,45134790,45134504,632,45124504,45144504,"","ZSWIM5","ZSWIM5","ZSWIM5",171705,"Intron (ENST00000359600.6/57643, intron 1 of 13)",71815,"Intron","chr1_45134219-45134790","Intron"
"chr1:45171980-45172552","chr1",45171980,45172552,45172266,88,45162266,45182266,"","ZSWIM5","ZSWIM5","ZSWIM5",133943,"Intron (ENST00000359600.6/57643, intron 1 of 13)",34053,"Intron","chr1_45171980-45172552","Intron"
"chr1:45871410-45871854","chr1",45871410,45871854,45871632,103,45861632,45881632,"","MAST2","MAST2","MAST2",84645,"Intron (ENST00000470809.1/23139, intron 3 of 4)",-41734,"Intron","chr1_45871410-45871854","Intron"
"chr1:47191478-47191841","chr1",47191478,47191841,47191659,157,47181659,47201659,"PDZK1IP1","PDZK1IP1","PDZK1IP1","PDZK1IP1",-615,"Promoter (<=1kb)",-434,"Promoter","chr1_47191478-47191841","Promoter"
"chr1:47732493-47732875","chr1",47732493,47732875,47732684,109,47722684,47742684,"","","TRABD2B","TRABD2B",264211,"Distal Intergenic",32672,"Intergenic","chr1_47732493-47732875","Intergenic"
"chr1:47872928-47873217","chr1",47872928,47873217,47873072,31,47863072,47883072,"","TRABD2B","TRABD2B","TRABD2B",123823,"Intron (ENST00000606738.3/388630, intron 2 of 6)",-107381,"Intron","chr1_47872928-47873217","Intron"
"chr1:48222462-48222884","chr1",48222462,48222884,48222673,332,48212673,48232673,"SLC5A9","SLC5A9","SLC5A9","SLC5A9",-12,"Promoter (<=1kb)",0,"Promoter","chr1_48222462-48222884","Promoter"
"chr1:50285944-50286340","chr1",50285944,50286340,50286142,158,50276142,50296142,"","LOC105378711,LINC02808","LINC02808","ELAVL4",238128,"Intron (ENST00000641749.1/105378711, intron 3 of 11)",-5769,"Intron","chr1_50285944-50286340","Intron"
"chr1:50527187-50527678","chr1",50527187,50527678,50527432,288,50517432,50537432,"","FAF1","FAF1","FAF1",432831,"Intron (ENST00000396153.7/11124, intron 15 of 18)",65718,"Intron","chr1_50527187-50527678","Intron"
"chr1:51305401-51305840","chr1",51305401,51305840,51305620,349,51295620,51315620,"LOC124904177","LOC124904177,TTC39A","TTC39A","TTC39A",39496,"Promoter (<=1kb)",0,"Promoter","chr1_51305401-51305840","Promoter"
"chr1:51690123-51690630","chr1",51690123,51690630,51690376,116,51680376,51700376,"","OSBPL9","OSBPL9","OSBPL9",113197,"Intron (ENST00000371714.5/114883, intron 6 of 25)",-23373,"Intron","chr1_51690123-51690630","Intron"
"chr1:52028303-52028602","chr1",52028303,52028602,52028452,81,52018452,52038452,"KTI12","KTI12,TXNDC12","TXNDC12","TXNDC12",27719,"3' UTR",-3647,"3UTR","chr1_52028303-52028602","3UTR"
"chr1:53145738-53146254","chr1",53145738,53146254,53145996,854,53135996,53155996,"SLC1A7","SLC1A7","SLC1A7","SLC1A7",-3364,"Distal Intergenic",-3100,"Intergenic","chr1_53145738-53146254","Intergenic"
"chr1:54080598-54081158","chr1",54080598,54081158,54080878,425,54070878,54090878,"","TCEANC2","TCEANC2","TCEANC2",27291,"Intron (ENST00000648983.1/127428, intron 3 of 5)",26464,"Intron","chr1_54080598-54081158","Intron"
"chr1:54649019-54649498","chr1",54649019,54649498,54649258,444,54639258,54659258,"MROH7-TTC4,MROH7","MROH7-TTC4,MROH7","MROH7","MROH7-TTC4",7472,"Promoter (1-2kb)",-1739,"Promoter","chr1_54649019-54649498","Promoter"
"chr1:54865502-54865950","chr1",54865502,54865950,54865726,236,54855726,54875726,"","DHCR24","DHCR24","DHCR24",21492,"Intron (ENST00000371269.9/1718, intron 5 of 8)",20540,"Intron","chr1_54865502-54865950","Intron"
"chr1:54869137-54869601","chr1",54869137,54869601,54869369,139,54859369,54879369,"","DHCR24","DHCR24","DHCR24",17849,"Intron (ENST00000371269.9/1718, intron 5 of 8)",16889,"Intron","chr1_54869137-54869601","Intron"
"chr1:55039245-55039676","chr1",55039245,55039676,55039460,402,55029460,55049460,"PCSK9","PCSK9","PCSK9","PCSK9",-88,"Promoter (<=1kb)",0,"Promoter","chr1_55039245-55039676","Promoter"
"chr1:55429103-55429448","chr1",55429103,55429448,55429275,113,55419275,55439275,"","","MIR4422HG","USP24",-214162,"Intron (ENST00000643167.1/ENST00000643167.1, intron 1 of 3)",203462,"Intron","chr1_55429103-55429448","Intron"
"chr1:55530771-55531172","chr1",55530771,55531172,55530971,188,55520971,55540971,"","","MIR4422HG","USP24",-315858,"Intron (ENST00000643167.1/ENST00000643167.1, intron 1 of 3)",-292644,"Intron","chr1_55530771-55531172","Intron"
"chr1:56284911-56285377","chr1",56284911,56285377,56285144,456,56275144,56295144,"","LOC124904185,LOC124904186,LOC124904187,LOC124904188,PLPP3","PLPP3","PLPP3",360157,"Promoter (<=1kb)",193,"Promoter","chr1_56284911-56285377","Promoter"
"chr1:56563476-56563939","chr1",56563476,56563939,56563707,169,56553707,56573707,"","PLPP3","PLPP3","PLPP3",81594,"Intron (ENST00000371250.4/8613, intron 1 of 5)",15624,"Intron","chr1_56563476-56563939","Intron"
"chr1:56566326-56566805","chr1",56566326,56566805,56566565,325,56556565,56576565,"","PLPP3","PLPP3","PLPP3",78736,"Intron (ENST00000371250.4/8613, intron 1 of 5)",12758,"Intron","chr1_56566326-56566805","Intron"
"chr1:56854425-56855006","chr1",56854425,56855006,56854715,1452,56844715,56864715,"C8A","C8A","C8A","C8A",-91,"Promoter (<=1kb)",0,"Promoter","chr1_56854425-56855006","Promoter"
"chr1:56919561-56920053","chr1",56919561,56920053,56919807,372,56909807,56929807,"","C8A,C8B","C8A","C8A",65001,"Distal Intergenic",7610,"Intergenic","chr1_56919561-56920053","Intergenic"
